MSOA_code,Households
E02001040,2552
E02001041,3265
E02001042,2701
E02001043,2253
E02001044,2841
E02001045,3362
E02001046,3365
E02001047,3672
E02001048,3233
E02001049,3712
E02001050,2562
E02001051,3302
E02001052,3360
E02001053,3610
E02001054,3311
E02001055,3479
E02001056,3408
E02001057,2886
E02001058,3006
E02001059,3337
E02001060,2935
E02001061,3572
E02001062,3078
E02001063,2272
E02001064,3169
E02001065,3414
E02001066,2867
E02001067,3126
E02001068,2820
E02001069,3103
E02001070,2561
E02001071,3701
E02001072,2867
E02001073,3740
E02001074,3683
E02001075,2802
E02001076,2502
E02001077,2942
E02001078,3596
E02001079,3081
E02001080,3085
E02001081,2671
E02001082,2608
E02001083,2821
E02001084,3153
E02001085,3100
E02001086,2424
E02001087,4102
E02001088,3423
E02001089,2798
E02001090,2834
E02001091,3619
E02001092,3294
E02001093,3023
E02001094,3391
E02001095,3209
E02001096,3160
E02001097,3303
E02001098,2751
E02001099,2669
E02001100,2503
E02001101,2426
E02001102,2334
E02001103,2215
E02001104,2653
E02001105,2506
E02001106,2642
E02001107,2396
E02001108,2464
E02001109,3297
E02001110,2434
E02001111,2834
E02001112,2352
E02001113,2484
E02001114,3247
E02001115,2462
E02001116,2353
E02001117,2365
E02001118,2580
E02001119,2593
E02001120,2220
E02001121,2446
E02001122,2002
E02001123,2562
E02001124,2480
E02001125,3111
E02001126,3101
E02001127,2759
E02001128,3217
E02001129,2531
E02001130,2513
E02001131,2308
E02001132,2686
E02001133,2394
E02001134,2429
E02001135,3024
E02001136,3517
E02001137,2463
E02001138,3641
E02001139,3059
E02001140,2947
E02001141,4570
E02001142,2345
E02001143,3719
E02001144,2565
E02001145,2829
E02001146,2683
E02001147,3551
E02001148,4030
E02001149,4441
E02001150,3485
E02001151,3661
E02001152,3738
E02001153,4161
E02001154,4128
E02001155,3274
E02001156,4112
E02001157,3217
E02001158,2798
E02001159,2262
E02001160,2480
E02001161,2458
E02001162,2548
E02001163,3976
E02001164,2318
E02001165,2658
E02001166,2224
E02001167,2492
E02001168,3940
E02001169,4255
E02001170,3962
E02001171,2315
E02001172,4047
E02001173,3395
E02001174,2314
E02001175,2935
E02001176,4636
E02001177,4803
E02001178,3272
E02001179,2814
E02001180,3075
E02001181,2483
E02001182,2889
E02001183,2677
E02001184,3083
E02001185,4163
E02001186,3757
E02001187,3135
E02001188,3206
E02001189,3648
E02001190,2899
E02001191,2575
E02001192,2793
E02001193,2919
E02001194,2521
E02001195,3129
E02001196,3316
E02001197,2673
E02001198,3247
E02001199,3485
E02001200,3182
E02001201,2450
E02001202,2946
E02001203,2394
E02001204,3697
E02001205,3523
E02001206,2952
E02001207,2902
E02001208,3276
E02001209,3145
E02001210,2932
E02001211,2414
E02001212,2451
E02001213,3987
E02001214,3050
E02001215,2597
E02001216,2998
E02001217,2886
E02001218,2349
E02001219,2253
E02001220,2287
E02001221,2347
E02001222,2398
E02001223,2828
E02001224,2570
E02001225,2947
E02001226,2617
E02001227,2382
E02001228,2157
E02001229,3853
E02001230,2339
E02001231,2448
E02001232,3253
E02001233,3235
E02001234,3162
E02001235,2723
E02001236,2335
E02001237,2598
E02001238,3198
E02001239,3853
E02001240,2623
E02001241,3752
E02001242,2324
E02001243,3300
E02001244,2331
E02001245,3263
E02001246,3023
E02001247,2936
E02001248,3767
E02001249,2751
E02001250,2510
E02001251,2643
E02001252,3208
E02001253,2260
E02001254,2455
E02001255,2850
E02001256,3765
E02001257,4118
E02001258,3108
E02001259,3742
E02001260,3034
E02001261,2979
E02001262,2938
E02001263,3293
